gameweek_id,finished,start,minutes,started,awayteam_id,awayteam_score,hometeam_id,hometeam_score
1,true,2019-08-09T19:00:00Z,90,true,14,1,10,4
1,true,2019-08-10T11:30:00Z,90,true,11,5,19,0
1,true,2019-08-10T14:00:00Z,90,true,15,1,3,1
1,true,2019-08-10T14:00:00Z,90,true,16,0,5,3
1,true,2019-08-10T14:00:00Z,90,true,8,0,7,0
1,true,2019-08-10T14:00:00Z,90,true,4,3,18,0
1,true,2019-08-10T16:30:00Z,90,true,2,1,17,3
1,true,2019-08-11T13:00:00Z,90,true,20,0,9,0
1,true,2019-08-11T13:00:00Z,90,true,1,1,13,0
1,true,2019-08-11T15:30:00Z,90,true,6,0,12,4
2,false,2019-08-17T11:30:00Z,0,false,5,0,1,0
2,false,2019-08-17T14:00:00Z,0,false,3,0,2,0
2,false,2019-08-17T14:00:00Z,0,false,19,0,4,0
2,false,2019-08-17T14:00:00Z,0,false,18,0,8,0
2,false,2019-08-17T14:00:00Z,0,false,13,0,14,0
2,false,2019-08-17T14:00:00Z,0,false,10,0,16,0
2,false,2019-08-17T16:30:00Z,0,false,17,0,11,0
2,false,2019-08-18T13:00:00Z,0,false,7,0,15,0
2,false,2019-08-18T15:30:00Z,0,false,9,0,6,0
2,false,2019-08-19T19:00:00Z,0,false,12,0,20,0
3,false,2019-08-23T19:00:00Z,0,false,8,0,2,0
3,false,2019-08-24T11:30:00Z,0,false,6,0,14,0
3,false,2019-08-24T14:00:00Z,0,false,16,0,4,0
3,false,2019-08-24T14:00:00Z,0,false,7,0,12,0
3,false,2019-08-24T14:00:00Z,0,false,9,0,15,0
3,false,2019-08-24T14:00:00Z,0,false,19,0,18,0
3,false,2019-08-24T14:00:00Z,0,false,5,0,20,0
3,false,2019-08-24T16:30:00Z,0,false,1,0,10,0
3,false,2019-08-25T13:00:00Z,0,false,11,0,3,0
3,false,2019-08-25T15:30:00Z,0,false,13,0,17,0
4,false,2019-08-31T11:30:00Z,0,false,12,0,16,0
4,false,2019-08-31T14:00:00Z,0,false,15,0,6,0
4,false,2019-08-31T14:00:00Z,0,false,2,0,7,0
4,false,2019-08-31T14:00:00Z,0,false,3,0,9,0
