first_name,second_name,goals,assists,player_score,missed_passes,red_cards,yellow_cards,player_price,position,goals_conceded,saves,code,club_id
Pierre-Emerick,Aubameyang,22,7,205,42,0,0,110,4,0,0,54694,1
Héctor,Bellerín,0,5,60,21,0,3,55,2,0,0,98745,1
Mohamed,Elneny,0,0,10,5,0,0,45,3,0,0,153256,1
Matteo,Guendouzi,0,0,47,32,0,9,45,3,0,0,242166,1
Rob,Holding,0,0,24,10,0,1,45,2,0,0,156074,1
Alex,Iwobi,3,8,99,32,0,0,60,3,0,0,153133,1
Carl,Jenkinson,0,0,4,3,0,0,45,2,0,0,80254,1
Sead,Kolasinac,0,7,81,29,0,5,55,2,0,0,111457,1
Laurent,Koscielny,3,0,62,23,0,1,50,2,0,0,51507,1
Alexandre,Lacazette,13,12,166,31,0,2,95,4,0,0,59966,1
Bernd,Leno,0,0,106,42,0,0,50,1,8,18,80201,1
Ainsley,Maitland-Niles,1,1,34,20,1,1,50,2,0,0,154043,1
Emiliano,Martínez,0,0,0,0,0,0,45,1,11,35,98980,1
Konstantinos,Mavropanos,0,0,3,1,0,1,45,2,0,0,233963,1
Henrikh,Mkhitaryan,6,4,98,26,0,1,70,3,0,0,57249,1
Nacho,Monreal,1,4,77,24,0,5,50,2,0,0,38411,1
Shkodran,Mustafi,2,0,80,40,0,9,55,2,0,0,69140,1
Edward,Nketiah,1,0,10,3,0,0,45,4,0,0,205533,1
Mesut,Özil,5,3,89,24,0,2,75,3,0,0,37605,1
Sokratis,Papastathopoulos,1,2,64,33,0,12,50,2,0,0,39476,1
Lucas,Torreira,2,4,78,38,1,7,50,3,0,0,198849,1
Granit,Xhaka,4,3,90,37,0,10,55,3,0,0,84450,1
Birkir,Bjarnason,0,0,0,0,0,0,45,3,0,0,27770,2
James,Chester,0,0,0,0,0,0,45,2,0,0,43252,2
Keinan,Davis,0,0,0,0,0,0,45,3,0,0,221239,2
Anwar,El Ghazi,0,0,0,0,0,0,55,3,0,0,193488,2
Ahmed,El Mohamady,0,0,0,0,0,0,45,2,0,0,37339,2
Bjorn,Engels,0,0,0,0,0,0,45,2,0,0,108156,2
Jack,Grealish,0,0,0,0,0,0,60,3,0,0,114283,2
Andre,Green,0,0,0,0,0,0,50,3,0,0,174597,2
Kortney,Hause,0,0,0,0,0,0,45,2,0,0,123354,2
Conor,Hourihane,0,0,0,0,0,0,60,3,0,0,85242,2
Jonathan,Kodjia,0,0,0,0,0,0,55,4,0,0,54764,2
Ezri,Konsa Ngoyo,0,0,0,0,0,0,45,2,0,0,199798,2
Henri,Lansbury,0,0,0,0,0,0,45,3,0,0,40564,2
John,McGinn,0,0,0,0,0,0,55,3,0,0,122806,2
Tyrone,Mings,0,0,5,4,0,0,45,2,0,0,149484,2
Wesley,Moraes,0,0,0,0,0,0,60,4,0,0,213345,2
Ørjan,Nyland,0,0,0,0,0,0,45,1,10,25,98770,2
José Ignacio,Peleteiro Romallo,0,0,0,0,0,0,60,3,0,0,89274,2
Jed,Steer,0,0,0,0,0,0,45,1,3,15,79852,2
Matt,Targett,1,3,36,25,0,2,45,2,0,0,169359,2
Charlie,Taylor,0,1,82,64,0,2,45,2,0,0,103914,2
Nathan,Aké,4,1,120,70,0,3,50,2,0,0,126184,3
Asmir,Begovic,0,0,63,47,0,0,45,1,3,13,40349,3
Artur,Boruc,0,0,46,18,0,2,45,1,15,31,18726,3
David,Brooks,7,6,123,41,0,3,65,3,0,0,111317,3
Lewis,Cook,0,0,22,10,0,2,50,3,0,0,155408,3
Steve,Cook,1,1,85,56,0,3,50,2,0,0,56917,3
Charlie,Daniels,1,0,44,34,0,4,45,2,0,0,41320,3
Simon,Francis,0,2,40,24,0,1,45,2,0,0,15149,3
Ryan,Fraser,7,14,181,64,0,2,75,3,0,0,90105,3
Dan,Gosling,2,2,54,33,0,8,50,3,0,0,40387,3
Jordon,Ibe,1,1,33,23,0,1,50,3,0,0,103912,3
Lloyd,Kelly,0,0,0,0,0,0,45,2,0,0,235530,3
Joshua,King,12,3,141,57,0,3,65,4,0,0,78007,3
Jefferson,Lerma,2,2,75,49,0,12,50,3,0,0,152551,3
Chris,Mepham,0,1,27,17,0,1,45,2,0,0,223911,3
Lys,Mousset,1,0,28,15,0,1,50,4,0,0,178304,3
Diego,Rico,0,0,8,19,0,1,40,2,0,0,171129,3
Jack,Simpson,0,0,10,9,0,0,40,2,0,0,222434,3
Adam,Smith,1,1,70,33,1,5,45,2,0,0,54469,3
Dominic,Solanke,0,1,15,5,0,0,55,4,0,0,154566,3
Jack,Stacey,0,0,0,0,0,0,45,2,0,0,154131,3
Junior,Stanislas,2,3,56,24,0,1,60,3,0,0,56872,3
Andrew,Surman,0,0,36,37,0,2,50,3,0,0,15237,3
Sam,Surridge,0,0,2,0,0,0,45,4,0,0,217331,3
Mark,Travers,0,0,9,5,0,0,45,1,4,11,229600,3
Callum,Wilson,14,12,168,47,0,3,80,4,0,0,75115,3
Florin,Andone,3,0,38,14,0,5,50,4,0,0,93284,4
Leon,Balogun,1,0,15,10,0,2,45,2,0,0,52484,4
Yves,Bissouma,0,0,43,32,0,5,50,3,0,0,227127,4
Gaëtan,Bong,0,0,48,34,0,0,45,2,0,0,42748,4
David,Button,0,0,15,5,0,0,40,1,3,19,50093,4
Matthew,Clarke,0,0,0,0,0,0,45,2,0,0,178173,4
Mark,Duffy,0,0,0,0,0,0,55,3,0,0,59614,4
Lewis,Dunk,2,1,91,56,1,5,45,2,0,0,83299,4
Bernardo,Fernandes da Silva Junior,0,1,39,29,0,4,45,2,0,0,209362,4
Pascal,Groß,3,3,80,31,0,1,65,3,0,0,60307,4
José Heriberto,Izquierdo Mena,0,2,31,10,0,1,55,3,0,0,167473,4
Alireza,Jahanbakhsh,0,0,33,16,0,2,60,3,0,0,165210,4
Beram,Kayal,1,1,36,17,0,4,45,3,0,0,38490,4
Anthony,Knockaert,2,6,74,41,1,4,55,3,0,0,83543,4
Jürgen,Locadia,2,0,52,21,0,1,55,4,0,0,106757,4
Solomon,March,1,6,94,40,0,1,50,3,0,0,109345,4
Martín,Montoya,0,1,45,41,0,4,45,2,0,0,86153,4
Glenn,Murray,13,1,129,45,0,5,60,4,0,0,20529,4
Davy,Pröpper,1,1,72,45,0,2,50,3,0,0,66242,4
Mathew,Ryan,0,0,104,55,0,2,45,1,7,13,131897,4
Dale,Stephens,1,1,65,46,1,6,45,3,0,0,40845,4
Leandro,Trossard,0,0,0,0,0,0,60,3,0,0,116216,4
Phil,Bardsley,0,0,33,27,0,9,45,2,0,0,17997,5
Ashley,Barnes,12,3,122,41,0,8,65,4,0,0,44699,5
Robbie,Brady,0,1,20,17,1,3,55,3,0,0,90517,5
Jack,Cork,1,2,87,63,0,6,50,3,0,0,40145,5
Steven,Defour,0,0,10,14,0,0,55,3,0,0,39847,5
Ben,Gibson,1,0,6,3,0,1,40,2,0,0,83312,5
Johann Berg,Gudmundsson,3,7,92,39,0,2,60,3,0,0,60586,5
Joe,Hart,0,0,69,41,0,0,45,1,8,11,15749,5
Tom,Heaton,0,0,58,27,0,3,45,1,8,30,21205,5
Jeff,Hendrick,2,2,73,44,0,4,55,3,0,0,83314,5
Aaron,Lennon,1,1,41,22,0,1,50,3,0,0,17349,5
